"trainer/global_step","t1_lr0.0001_do0.2_pw25.0_a0.5_ - val_auc","t1_lr0.0001_do0.2_pw25.0_a0.5_ - val_auc__MIN","t1_lr0.0001_do0.2_pw25.0_a0.5_ - val_auc__MAX","t1_lr0.0001_do0.2_pw25.0_a0.5_ - _step","t1_lr0.0001_do0.2_pw25.0_a0.5_ - _step__MIN","t1_lr0.0001_do0.2_pw25.0_a0.5_ - _step__MAX","t1_lr0.0001_do0.2_pw25.0_a0.1_ - val_auc","t1_lr0.0001_do0.2_pw25.0_a0.1_ - val_auc__MIN","t1_lr0.0001_do0.2_pw25.0_a0.1_ - val_auc__MAX","t1_lr0.0001_do0.2_pw25.0_a0.1_ - _step","t1_lr0.0001_do0.2_pw25.0_a0.1_ - _step__MIN","t1_lr0.0001_do0.2_pw25.0_a0.1_ - _step__MAX","t1_lr0.0001_do0.2_pw50.0_a0.3_ - val_auc","t1_lr0.0001_do0.2_pw50.0_a0.3_ - val_auc__MIN","t1_lr0.0001_do0.2_pw50.0_a0.3_ - val_auc__MAX","t1_lr0.0001_do0.2_pw50.0_a0.3_ - _step","t1_lr0.0001_do0.2_pw50.0_a0.3_ - _step__MIN","t1_lr0.0001_do0.2_pw50.0_a0.3_ - _step__MAX","t1_lr0.0001_do0.2_pw10.0_a0.3_ - val_auc","t1_lr0.0001_do0.2_pw10.0_a0.3_ - val_auc__MIN","t1_lr0.0001_do0.2_pw10.0_a0.3_ - val_auc__MAX","t1_lr0.0001_do0.2_pw10.0_a0.3_ - _step","t1_lr0.0001_do0.2_pw10.0_a0.3_ - _step__MIN","t1_lr0.0001_do0.2_pw10.0_a0.3_ - _step__MAX","t1_lr0.0001_do0.1_pw25.0_a0.3_ - val_auc","t1_lr0.0001_do0.1_pw25.0_a0.3_ - val_auc__MIN","t1_lr0.0001_do0.1_pw25.0_a0.3_ - val_auc__MAX","t1_lr0.0001_do0.1_pw25.0_a0.3_ - _step","t1_lr0.0001_do0.1_pw25.0_a0.3_ - _step__MIN","t1_lr0.0001_do0.1_pw25.0_a0.3_ - _step__MAX","t1_lr0.0002_do0.2_pw25.0_a0.3_ - val_auc","t1_lr0.0002_do0.2_pw25.0_a0.3_ - val_auc__MIN","t1_lr0.0002_do0.2_pw25.0_a0.3_ - val_auc__MAX","t1_lr0.0002_do0.2_pw25.0_a0.3_ - _step","t1_lr0.0002_do0.2_pw25.0_a0.3_ - _step__MIN","t1_lr0.0002_do0.2_pw25.0_a0.3_ - _step__MAX","t1_lr5e-05_do0.2_pw25.0_a0.3_ - val_auc","t1_lr5e-05_do0.2_pw25.0_a0.3_ - val_auc__MIN","t1_lr5e-05_do0.2_pw25.0_a0.3_ - val_auc__MAX","t1_lr5e-05_do0.2_pw25.0_a0.3_ - _step","t1_lr5e-05_do0.2_pw25.0_a0.3_ - _step__MIN","t1_lr5e-05_do0.2_pw25.0_a0.3_ - _step__MAX","t1_lr0.0001_do0.2_pw25.0_a0.3_ - val_auc","t1_lr0.0001_do0.2_pw25.0_a0.3_ - val_auc__MIN","t1_lr0.0001_do0.2_pw25.0_a0.3_ - val_auc__MAX","t1_lr0.0001_do0.2_pw25.0_a0.3_ - _step","t1_lr0.0001_do0.2_pw25.0_a0.3_ - _step__MIN","t1_lr0.0001_do0.2_pw25.0_a0.3_ - _step__MAX","t1 - val_auc","t1 - val_auc__MIN","t1 - val_auc__MAX","t1 - _step","t1 - _step__MIN","t1 - _step__MAX"
"2999","0.9385542869567871","0.9385542869567871","0.9385542869567871","600","600","600","0.929948091506958","0.929948091506958","0.929948091506958","600","600","600","0.9387887716293335","0.9387887716293335","0.9387887716293335","600","600","600","0.9301763772964478","0.9301763772964478","0.9301763772964478","600","600","600","0.9391427636146545","0.9391340017318726","0.9391515254974365","600","600","600","0.9465231895446777","0.9465231895446777","0.9465231895446777","600","600","600","0.912971019744873","0.912971019744873","0.912971019744873","600","600","600","0.9364778399467468","0.9364778399467468","0.9364778399467468","600","600","600","0.936524510383606","0.936524510383606","0.936524510383606","600","600","600"
"5999","0.9659197330474854","0.9659197330474854","0.9659197330474854","1202","1202","1202","0.9639707803726196","0.9639707803726196","0.9639707803726196","1202","1202","1202","0.9657261967658997","0.9657261967658997","0.9657261967658997","1202","1202","1202","0.9640851020812988","0.9640851020812988","0.9640851020812988","1202","1202","1202","0.9671233594417572","0.9671086072921753","0.9671381115913391","1202","1202","1202","0.9689382314682007","0.9689382314682007","0.9689382314682007","1202","1202","1202","0.9569916725158691","0.9569916725158691","0.9569916725158691","1202","1202","1202","0.9658954739570618","0.9658954739570618","0.9658954739570618","1202","1202","1202","0.9659411907196045","0.9659411907196045","0.9659411907196045","1202","1202","1202"
"8999","0.9703165888786316","0.9703165888786316","0.9703165888786316","1804","1804","1804","0.9671857357025146","0.9671857357025146","0.9671857357025146","1804","1804","1804","0.970625638961792","0.970625638961792","0.970625638961792","1804","1804","1804","0.967942476272583","0.967942476272583","0.967942476272583","1804","1804","1804","0.9714568853378296","0.9714440107345581","0.9714697599411011","1804","1804","1804","0.9699280261993408","0.9699280261993408","0.9699280261993408","1804","1804","1804","0.9678611755371094","0.9678611755371094","0.9678611755371094","1804","1804","1804","0.9692811965942383","0.9692811965942383","0.9692811965942383","1804","1804","1804","0.9692850112915039","0.9692850112915039","0.9692850112915039","1804","1804","1804"
"11999","0.972804844379425","0.972804844379425","0.972804844379425","2406","2406","2406","0.9720909595489502","0.9720909595489502","0.9720909595489502","2406","2406","2406","0.9727191925048828","0.9727191925048828","0.9727191925048828","2406","2406","2406","0.9718952178955078","0.9718952178955078","0.9718952178955078","2406","2406","2406","0.974276602268219","0.974216103553772","0.974337100982666","2406","2406","2406","0.9756121635437012","0.9756121635437012","0.9756121635437012","2406","2406","2406","0.9696188569068909","0.9696188569068909","0.9696188569068909","2406","2406","2406","0.9722949266433716","0.9722949266433716","0.9722949266433716","2406","2406","2406","0.9724202156066895","0.9724202156066895","0.9724202156066895","2406","2406","2406"
"14999","0.9728839993476868","0.9728839993476868","0.9728839993476868","3008","3008","3008","0.9744957685470581","0.9744957685470581","0.9744957685470581","3008","3008","3008","0.9719629287719727","0.9719629287719727","0.9719629287719727","3008","3008","3008","0.9739445447921753","0.9739445447921753","0.9739445447921753","3008","3008","3008","0.9748552143573761","0.9748204946517944","0.9748899340629578","3008","3008","3008","0.9762855172157288","0.9762855172157288","0.9762855172157288","3008","3008","3008","0.971768856048584","0.971768856048584","0.971768856048584","3008","3008","3008","0.9732091426849365","0.9732091426849365","0.9732091426849365","3008","3008","3008","0.9733113646507263","0.9733113646507263","0.9733113646507263","3008","3008","3008"
"17999","0.9667503833770752","0.9667503833770752","0.9667503833770752","3610","3610","3610","0.9668440818786621","0.9668440818786621","0.9668440818786621","3610","3610","3610","0.9660517573356628","0.9660517573356628","0.9660517573356628","3610","3610","3610","0.9662305116653442","0.9662305116653442","0.9662305116653442","3610","3610","3610","0.9664711058139801","0.966378927230835","0.9665632843971252","3610","3610","3610","0.9671973586082458","0.9671973586082458","0.9671973586082458","3610","3610","3610","0.9644184112548828","0.9644184112548828","0.9644184112548828","3610","3610","3610","0.9662775993347168","0.9662775993347168","0.9662775993347168","3610","3610","3610","0.966504693031311","0.966504693031311","0.966504693031311","3610","3610","3610"
"20999","0.9547888040542603","0.9547888040542603","0.9547888040542603","4212","4212","4212","0.9545916318893433","0.9545916318893433","0.9545916318893433","4212","4212","4212","0.9536946415901184","0.9536946415901184","0.9536946415901184","4212","4212","4212","0.9545300602912903","0.9545300602912903","0.9545300602912903","4212","4212","4212","0.9534174799919128","0.9530353546142578","0.9537996053695679","4212","4212","4212","0.9537377953529358","0.9537377953529358","0.9537377953529358","4212","4212","4212","0.952366292476654","0.952366292476654","0.952366292476654","4212","4212","4212","0.9532290697097778","0.9532290697097778","0.9532290697097778","4212","4212","4212","0.9532479643821716","0.9532479643821716","0.9532479643821716","4212","4212","4212"
"23999","0.9494296908378601","0.9494296908378601","0.9494296908378601","4814","4814","4814","0.9491869211196899","0.9491869211196899","0.9491869211196899","4814","4814","4814","0.948915421962738","0.948915421962738","0.948915421962738","4814","4814","4814","0.951488733291626","0.951488733291626","0.951488733291626","4814","4814","4814","0.9502598345279694","0.9501428604125977","0.9503768086433411","4814","4814","4814","0.9504011869430542","0.9504011869430542","0.9504011869430542","4814","4814","4814","0.9487172365188599","0.9487172365188599","0.9487172365188599","4814","4814","4814","0.9494776725769043","0.9494776725769043","0.9494776725769043","4814","4814","4814","0.9495623111724854","0.9495623111724854","0.9495623111724854","4814","4814","4814"
"26999","0.9607728719711304","0.9607728719711304","0.9607728719711304","5416","5416","5416","0.9639770984649658","0.9639770984649658","0.9639770984649658","5416","5416","5416","0.9611566662788391","0.9611566662788391","0.9611566662788391","5416","5416","5416","0.9632397890090942","0.9632397890090942","0.9632397890090942","5416","5416","5416","0.9586422741413116","0.9585219025611877","0.9587626457214355","5416","5416","5416","0.9606429934501648","0.9606429934501648","0.9606429934501648","5416","5416","5416","0.9610220193862915","0.9610220193862915","0.9610220193862915","5416","5416","5416","0.9616195559501648","0.9616195559501648","0.9616195559501648","5416","5416","5416","0.9619197249412537","0.9619197249412537","0.9619197249412537","5416","5416","5416"
"29999","","","","","","","0.9506922960281372","0.9506922960281372","0.9506922960281372","6018","6018","6018","","","","","","","0.9519972205162048","0.9519972205162048","0.9519972205162048","6018","6018","6018","0.9479621946811676","0.9477460980415344","0.9481782913208008","6018","6018","6018","0.952229380607605","0.952229380607605","0.952229380607605","6018","6018","6018","0.9502747058868408","0.9502747058868408","0.9502747058868408","6018","6018","6018","0.9508607387542725","0.9508607387542725","0.9508607387542725","6018","6018","6018","","","","","",""
