"trainer/global_step","t1_lr0.0001_do0.2_pw25.0_a0.5_ - val_fss_9","t1_lr0.0001_do0.2_pw25.0_a0.5_ - val_fss_9__MIN","t1_lr0.0001_do0.2_pw25.0_a0.5_ - val_fss_9__MAX","t1_lr0.0001_do0.2_pw25.0_a0.5_ - _step","t1_lr0.0001_do0.2_pw25.0_a0.5_ - _step__MIN","t1_lr0.0001_do0.2_pw25.0_a0.5_ - _step__MAX","t1_lr0.0001_do0.2_pw25.0_a0.1_ - val_fss_9","t1_lr0.0001_do0.2_pw25.0_a0.1_ - val_fss_9__MIN","t1_lr0.0001_do0.2_pw25.0_a0.1_ - val_fss_9__MAX","t1_lr0.0001_do0.2_pw25.0_a0.1_ - _step","t1_lr0.0001_do0.2_pw25.0_a0.1_ - _step__MIN","t1_lr0.0001_do0.2_pw25.0_a0.1_ - _step__MAX","t1_lr0.0001_do0.2_pw50.0_a0.3_ - val_fss_9","t1_lr0.0001_do0.2_pw50.0_a0.3_ - val_fss_9__MIN","t1_lr0.0001_do0.2_pw50.0_a0.3_ - val_fss_9__MAX","t1_lr0.0001_do0.2_pw50.0_a0.3_ - _step","t1_lr0.0001_do0.2_pw50.0_a0.3_ - _step__MIN","t1_lr0.0001_do0.2_pw50.0_a0.3_ - _step__MAX","t1_lr0.0001_do0.2_pw10.0_a0.3_ - val_fss_9","t1_lr0.0001_do0.2_pw10.0_a0.3_ - val_fss_9__MIN","t1_lr0.0001_do0.2_pw10.0_a0.3_ - val_fss_9__MAX","t1_lr0.0001_do0.2_pw10.0_a0.3_ - _step","t1_lr0.0001_do0.2_pw10.0_a0.3_ - _step__MIN","t1_lr0.0001_do0.2_pw10.0_a0.3_ - _step__MAX","t1_lr0.0001_do0.1_pw25.0_a0.3_ - val_fss_9","t1_lr0.0001_do0.1_pw25.0_a0.3_ - val_fss_9__MIN","t1_lr0.0001_do0.1_pw25.0_a0.3_ - val_fss_9__MAX","t1_lr0.0001_do0.1_pw25.0_a0.3_ - _step","t1_lr0.0001_do0.1_pw25.0_a0.3_ - _step__MIN","t1_lr0.0001_do0.1_pw25.0_a0.3_ - _step__MAX","t1_lr0.0002_do0.2_pw25.0_a0.3_ - val_fss_9","t1_lr0.0002_do0.2_pw25.0_a0.3_ - val_fss_9__MIN","t1_lr0.0002_do0.2_pw25.0_a0.3_ - val_fss_9__MAX","t1_lr0.0002_do0.2_pw25.0_a0.3_ - _step","t1_lr0.0002_do0.2_pw25.0_a0.3_ - _step__MIN","t1_lr0.0002_do0.2_pw25.0_a0.3_ - _step__MAX","t1_lr5e-05_do0.2_pw25.0_a0.3_ - val_fss_9","t1_lr5e-05_do0.2_pw25.0_a0.3_ - val_fss_9__MIN","t1_lr5e-05_do0.2_pw25.0_a0.3_ - val_fss_9__MAX","t1_lr5e-05_do0.2_pw25.0_a0.3_ - _step","t1_lr5e-05_do0.2_pw25.0_a0.3_ - _step__MIN","t1_lr5e-05_do0.2_pw25.0_a0.3_ - _step__MAX","t1_lr0.0001_do0.2_pw25.0_a0.3_ - val_fss_9","t1_lr0.0001_do0.2_pw25.0_a0.3_ - val_fss_9__MIN","t1_lr0.0001_do0.2_pw25.0_a0.3_ - val_fss_9__MAX","t1_lr0.0001_do0.2_pw25.0_a0.3_ - _step","t1_lr0.0001_do0.2_pw25.0_a0.3_ - _step__MIN","t1_lr0.0001_do0.2_pw25.0_a0.3_ - _step__MAX","t1 - val_fss_9","t1 - val_fss_9__MIN","t1 - val_fss_9__MAX","t1 - _step","t1 - _step__MIN","t1 - _step__MAX"
"2999","0.21346282958984375","0.21346282958984375","0.21346282958984375","600","600","600","0.21134743094444275","0.21134743094444275","0.21134743094444275","600","600","600","0.19363847374916077","0.19363847374916077","0.19363847374916077","600","600","600","0.2209765613079071","0.2209765613079071","0.2209765613079071","600","600","600","0.2197805643081665","0.21977709233760834","0.21978403627872467","600","600","600","0.225942000746727","0.225942000746727","0.225942000746727","600","600","600","0.1660628616809845","0.1660628616809845","0.1660628616809845","600","600","600","0.2177736908197403","0.2177736908197403","0.2177736908197403","600","600","600","0.21770980954170227","0.21770980954170227","0.21770980954170227","600","600","600"
"5999","0.1944417506456375","0.1944417506456375","0.1944417506456375","1202","1202","1202","0.22888557612895966","0.22888557612895966","0.22888557612895966","1202","1202","1202","0.17230848968029022","0.17230848968029022","0.17230848968029022","1202","1202","1202","0.23595283925533295","0.23595283925533295","0.23595283925533295","1202","1202","1202","0.21450213342905045","0.2144327312707901","0.2145715355873108","1202","1202","1202","0.2157987505197525","0.2157987505197525","0.2157987505197525","1202","1202","1202","0.19168223440647125","0.19168223440647125","0.19168223440647125","1202","1202","1202","0.20840130746364594","0.20840130746364594","0.20840130746364594","1202","1202","1202","0.20854820311069489","0.20854820311069489","0.20854820311069489","1202","1202","1202"
"8999","0.23018552362918854","0.23018552362918854","0.23018552362918854","1804","1804","1804","0.25711700320243835","0.25711700320243835","0.25711700320243835","1804","1804","1804","0.21297338604927063","0.21297338604927063","0.21297338604927063","1804","1804","1804","0.25811150670051575","0.25811150670051575","0.25811150670051575","1804","1804","1804","0.25704868137836456","0.25697100162506104","0.2571263611316681","1804","1804","1804","0.25279900431632996","0.25279900431632996","0.25279900431632996","1804","1804","1804","0.22787503898143768","0.22787503898143768","0.22787503898143768","1804","1804","1804","0.23871183395385742","0.23871183395385742","0.23871183395385742","1804","1804","1804","0.23845140635967255","0.23845140635967255","0.23845140635967255","1804","1804","1804"
"11999","0.2129773646593094","0.2129773646593094","0.2129773646593094","2406","2406","2406","0.2401403784751892","0.2401403784751892","0.2401403784751892","2406","2406","2406","0.19563241302967072","0.19563241302967072","0.19563241302967072","2406","2406","2406","0.23844096064567566","0.23844096064567566","0.23844096064567566","2406","2406","2406","0.233710415661335","0.23364315927028656","0.23377767205238342","2406","2406","2406","0.2299920916557312","0.2299920916557312","0.2299920916557312","2406","2406","2406","0.21634119749069214","0.21634119749069214","0.21634119749069214","2406","2406","2406","0.2240903675556183","0.2240903675556183","0.2240903675556183","2406","2406","2406","0.22391797602176666","0.22391797602176666","0.22391797602176666","2406","2406","2406"
"14999","0.23055598139762878","0.23055598139762878","0.23055598139762878","3008","3008","3008","0.2633720636367798","0.2633720636367798","0.2633720636367798","3008","3008","3008","0.21138601005077362","0.21138601005077362","0.21138601005077362","3008","3008","3008","0.26847293972969055","0.26847293972969055","0.26847293972969055","3008","3008","3008","0.24618251621723175","0.24578897655010223","0.24657605588436127","3008","3008","3008","0.25362831354141235","0.25362831354141235","0.25362831354141235","3008","3008","3008","0.2435063123703003","0.2435063123703003","0.2435063123703003","3008","3008","3008","0.23983289301395416","0.23983289301395416","0.23983289301395416","3008","3008","3008","0.2398526966571808","0.2398526966571808","0.2398526966571808","3008","3008","3008"
"17999","0.22593152523040771","0.22593152523040771","0.22593152523040771","3610","3610","3610","0.25000667572021484","0.25000667572021484","0.25000667572021484","3610","3610","3610","0.2059832215309143","0.2059832215309143","0.2059832215309143","3610","3610","3610","0.25031402707099915","0.25031402707099915","0.25031402707099915","3610","3610","3610","0.24307143688201904","0.24214158952236176","0.24400128424167633","3610","3610","3610","0.248789444565773","0.248789444565773","0.248789444565773","3610","3610","3610","0.22050270438194275","0.22050270438194275","0.22050270438194275","3610","3610","3610","0.23291850090026855","0.23291850090026855","0.23291850090026855","3610","3610","3610","0.2333485186100006","0.2333485186100006","0.2333485186100006","3610","3610","3610"
"20999","0.2950243651866913","0.2950243651866913","0.2950243651866913","4212","4212","4212","0.3018277585506439","0.3018277585506439","0.3018277585506439","4212","4212","4212","0.2867882549762726","0.2867882549762726","0.2867882549762726","4212","4212","4212","0.2898463010787964","0.2898463010787964","0.2898463010787964","4212","4212","4212","0.3065020740032196","0.30510106682777405","0.30790308117866516","4212","4212","4212","0.31715428829193115","0.31715428829193115","0.31715428829193115","4212","4212","4212","0.2962454855442047","0.2962454855442047","0.2962454855442047","4212","4212","4212","0.3014867603778839","0.3014867603778839","0.3014867603778839","4212","4212","4212","0.3029090464115143","0.3029090464115143","0.3029090464115143","4212","4212","4212"
"23999","0.26982730627059937","0.26982730627059937","0.26982730627059937","4814","4814","4814","0.2706581950187683","0.2706581950187683","0.2706581950187683","4814","4814","4814","0.2672620415687561","0.2672620415687561","0.2672620415687561","4814","4814","4814","0.2663143277168274","0.2663143277168274","0.2663143277168274","4814","4814","4814","0.27809372544288635","0.27763307094573975","0.27855437994003296","4814","4814","4814","0.28473740816116333","0.28473740816116333","0.28473740816116333","4814","4814","4814","0.25741276144981384","0.25741276144981384","0.25741276144981384","4814","4814","4814","0.27328023314476013","0.27328023314476013","0.27328023314476013","4814","4814","4814","0.2727065682411194","0.2727065682411194","0.2727065682411194","4814","4814","4814"
"26999","0.2691042423248291","0.2691042423248291","0.2691042423248291","5416","5416","5416","0.2653912305831909","0.2653912305831909","0.2653912305831909","5416","5416","5416","0.268713116645813","0.268713116645813","0.268713116645813","5416","5416","5416","0.2519763112068176","0.2519763112068176","0.2519763112068176","5416","5416","5416","0.2716134339570999","0.2702936828136444","0.2729331851005554","5416","5416","5416","0.2856752574443817","0.2856752574443817","0.2856752574443817","5416","5416","5416","0.26111552119255066","0.26111552119255066","0.26111552119255066","5416","5416","5416","0.271226167678833","0.271226167678833","0.271226167678833","5416","5416","5416","0.271266907453537","0.271266907453537","0.271266907453537","5416","5416","5416"
"29999","","","","","","","0.26543867588043213","0.26543867588043213","0.26543867588043213","6018","6018","6018","","","","","","","0.24265527725219727","0.24265527725219727","0.24265527725219727","6018","6018","6018","0.2588484585285187","0.258569598197937","0.25912731885910034","6018","6018","6018","0.27116382122039795","0.27116382122039795","0.27116382122039795","6018","6018","6018","0.26373937726020813","0.26373937726020813","0.26373937726020813","6018","6018","6018","0.2650076150894165","0.2650076150894165","0.2650076150894165","6018","6018","6018","","","","","",""
