2026-05-28 20:17:45,909 INFO    MainThread:599387 [wandb_setup.py:_flush():81] Current SDK version is 0.20.1
2026-05-28 20:17:45,910 INFO    MainThread:599387 [wandb_setup.py:_flush():81] Configure stats pid to 599387
2026-05-28 20:17:45,910 INFO    MainThread:599387 [wandb_setup.py:_flush():81] Loading settings from /home/users/mendrika/.config/wandb/settings
2026-05-28 20:17:45,910 INFO    MainThread:599387 [wandb_setup.py:_flush():81] Loading settings from /home/users/mendrika/NCAST/wandb/settings
2026-05-28 20:17:45,910 INFO    MainThread:599387 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-05-28 20:17:45,910 INFO    MainThread:599387 [wandb_init.py:setup_run_log_directory():703] Logging user logs to ./wandb/run-20260528_201745-yr9e4m7z/logs/debug.log
2026-05-28 20:17:45,910 INFO    MainThread:599387 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to ./wandb/run-20260528_201745-yr9e4m7z/logs/debug-internal.log
2026-05-28 20:17:45,910 INFO    MainThread:599387 [wandb_init.py:init():831] calling init triggers
2026-05-28 20:17:45,910 INFO    MainThread:599387 [wandb_init.py:init():836] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-05-28 20:17:45,910 INFO    MainThread:599387 [wandb_init.py:init():872] starting backend
2026-05-28 20:17:46,151 INFO    MainThread:599387 [wandb_init.py:init():875] sending inform_init request
2026-05-28 20:17:46,167 INFO    MainThread:599387 [wandb_init.py:init():883] backend started and connected
2026-05-28 20:17:46,168 INFO    MainThread:599387 [wandb_init.py:init():956] updated telemetry
2026-05-28 20:17:46,203 INFO    MainThread:599387 [wandb_init.py:init():980] communicating run to backend with 90.0 second timeout
2026-05-28 20:17:47,264 INFO    MainThread:599387 [wandb_init.py:init():1032] starting run threads in backend
2026-05-28 20:17:47,776 INFO    MainThread:599387 [wandb_run.py:_console_start():2453] atexit reg
2026-05-28 20:17:47,776 INFO    MainThread:599387 [wandb_run.py:_redirect():2301] redirect: wrap_raw
2026-05-28 20:17:47,776 INFO    MainThread:599387 [wandb_run.py:_redirect():2370] Wrapping output streams.
2026-05-28 20:17:47,776 INFO    MainThread:599387 [wandb_run.py:_redirect():2393] Redirects installed.
2026-05-28 20:17:47,784 INFO    MainThread:599387 [wandb_init.py:init():1078] run started, returning control to user process
2026-05-28 20:17:47,827 INFO    MainThread:599387 [wandb_run.py:_config_callback():1358] config_cb None None {'embed_dim': 128, 'lr': 0.0001, 'dropout_p': 0.3, 'pos_weight': 25.0, 'alpha': 0.3}
2026-05-28 20:59:00,827 INFO    MsgRouterThr:599387 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
